tag,text,title,url,source
Geek's Guide to the Galaxy;Syfy,"Syfy’s epic space show The Expanse is a smash hit among science fiction fans, drawing praise from websites like io9 and Ars Technica and from celebrities like Adam Savage. Geek’s Guide to the Galaxy host David Barr Kirtley also loves the show.

“This is my favorite show on TV,” Kirtley says in Episode 248 of the Geek’s Guide to the Galaxy podcast. “This is the most serious science fiction TV show—in terms of what hardcore science fiction fans would want in a TV show—that I’ve seen in a long time, possibly ever.”

But while the show is widely praised in many corners, it has yet to attract a wider audience. John J. Joex, who tracks the ratings of various shows over at Cancelled Sci Fi, says that The Expanse looks like a show headed for cancellation.

“The ratings started out decent and then really dropped off,” he says. “And I know this is an expensive series to produce, so I was really getting kind of nervous about it.”

Syfy recently renewed The Expanse for a third season, but a fourth season seems unlikely if the ratings don’t improve. Science fiction editor John Joseph Adams watches every episode of The Expanse, and he’s annoyed that he isn’t being counted by the Nielsen ratings.

“It’s pretty frustrating to hear that all of the viewing that I’ve done, none of that counts for anything as far as the networks are concerned,” he says.

Joex says that one way to make sure that your support for a show does get counted is to pay money for it. He says that’s more likely to save a show than letter-writing campaigns or billboards. “I think the best thing to do is to start buying episodes on iTunes, Amazon, that sort of thing,” he says. “If they see a lot of people spending money on it, that might convince them.”

Listen to our complete interview with John Joseph Adams and John J. Joex in Episode 248 of Geek’s Guide to the Galaxy above. And check out some highlights from the discussion below.

John J. Joex on franchise potential:

“Star Trek never had a huge audience, but look at the franchise that it became. It’s gone on for all these decades and spun off several television series and movies, with a new series on the way. Science fiction tends not to have a huge audience when it first airs, but it makes much more of a lasting impression. People will continue to watch it and buy merchandise for years and years to come, and so if they stick with a show, even if the ratings aren’t great right away, chances are that down the road it’s going to pay off. Firefly only had 14 episodes, and yet today it’s still a greatly celebrated show, and I’m sure they’re making plenty of money off of selling the DVDs and all the other merchandise from it. And yet they killed it just because the ratings weren’t great.”

John Joseph Adams on promoting The Expanse:

“I watched that special they did with Adam Savage, where he was going behind the scenes of The Expanse, and at the end of that they had a little snippet of Season 2—this was before Season 2 started airing—and it was that scene with Bobbi and the Martians doing their training, and it’s this really intense action sequence with people in power armor. If you could take that sequence, or one of the big space battles, and advertise it in a movie theater—I mean, with all the movies that are out there right now that are all science fiction and fantasy oriented, even the superhero stuff, if you aired that kind of thing in front of one of those movies, it seems like that would drive a lot of people to go watch the show that haven’t tried it.”

David Barr Kirtley on paying for content:

“I understand if your finances are tight and you can’t pay for shows, but people will spend $5 on a coffee or something like that, and just considering how important I think shows like this are, I wish people were willing to spend more money on them compared to other things that they spend money on. … And I think it would really be helpful if the networks themselves would say very clearly, ‘If you buy this from iTunes or whatever, it’s going to help you get another season of this show,’ and have some sort of feedback mechanism to make that clear to people, so it’s not just this black box where you’re throwing your dollars into it and you don’t know if anything’s going to come out of that. Just something where you could see somehow that spending money to support the show was actually helping that show get another season.”

John Joseph Adams on cliffhangers:

“I kind of feel like networks at least owe fans some kind of wrap-up, even if it’s not on the air. If you have a show and you produce it, and you get all these people hooked on something, the least you could do is do something to wrap it up in some way—maybe publish some scripts online or something. You’d have to pay somebody to write the scripts, but then you don’t actually have to spend the money to produce them. At least then maybe some diligent fans will get some closure, whereas leaving you high and dry when you end the season on a cliffhanger, that’s the worst feeling as a fan.”",Only You Can Stop The Expanse From Becoming the Next Canceled Sci-Fi Classic,https://www.wired.com/2017/03/geeks-guide-the-expanse-2/,wired
podcasts;Planet Earth II,"The first scene in “Cities,” the final episode of Planet Earth II, looks like a chase scene out of a James Bond movie. But instead of Daniel Craig, you’ve got a bunch of fighting langurs battling high above the city of Jodhpur, India. The music thumps, the camera soars, and if you watch on a big enough screen, it feels like you’re leaping from rooftops alongside them.

Podcast

“Cities” represents a new sort of endeavor for the Planet Earth team. Their latest study of animals looks at how cities change and shape animals, how animals survive (or don’t) in urban environments, and how humans can improve the relationship. It’s thrilling and touching, and features a surprising amount of turtle gore. We continue our ongoing coverage of this wonderful series, we talk to Fredi Devas, who directed and produced the finale, about the experience of exploring these newest of habitats.

You can watch Planet Earth II on BBC America each Saturday at 9 pm. You can even watch the premiere free on BBC America’s website. We love it, so check out our Planet Earth II coverage, and be sure to come back for discussions of other episodes. We still have lots of questions. If you do too, send the hosts feedback on their personal Twitter feeds (David Pierce is @pierce, and Michael Calore is @snackfight) or bling the main hotline at @GadgetLab.",It's Hard Out Here For a Pigeon,https://www.wired.com/2017/03/its-hard-out-here-for-a-pigeon/,wired
Geek's Guide to the Galaxy;Syfy,"A future world ruled by evil corporations isn’t exactly a new concept, but the Syfy show Incorporated brings something fresh to the idea. Science fiction editor John Joseph Adams says the show’s world-building will impress even hardcore science fiction readers.

“Most shows don’t come anywhere near the world-building sophistication of a science fiction novel, but this one really does,” Adams says in Episode 247 of the Geek’s Guide to the Galaxy podcast. “It’s almost surprising to me that it’s not based on a novel.”

Fantasy author Erin Lindsey, who spent over a decade as a humanitarian aid worker, says that some of that sophistication may be the work of Matt Damon, who’s a producer on Incorporated. She says the show’s depiction of a resource-depleted war zone definitely rings true to her.

“Matt Damon does a lot of not-for-profit work, particularly focused on Water.org, and so he’s spent a lot of time with the UN and with NGOs out in the field,” she says. “And so he’s seen some of these places that not a lot of people get to see.”

Anthony Ha, who covers technology and pop culture for TechCrunch, says that even very good science fiction shows, such as Black Mirror, tend to present future worlds built around a single premise, whereas Incorporated is more ambitious.

“They’re willing to say, ‘This would go in this direction, and this would go in this direction,’ and it’s not just all subservient to this one overarching idea that drives everything, because that’s not how the future works,” he says.

Unfortunately, excellent world-building wasn’t enough to make Incorporated a success—Syfy recently announced that the show won’t be returning for a second season. But Geek’s Guide to the Galaxy host David Barr Kirtley hopes that other shows will take a cue from Incorporated.

“I just really hope other shows will look at this and take that example to heart, and have world-building this good in other science fiction shows going forward,” he says.

Listen to our complete interview with John Joseph Adams, Erin Lindsey, and Anthony Ha in Episode 247 of Geek’s Guide to the Galaxy (above). And check out some highlights from the discussion below.

John Joseph Adams on describing Incorporated:

“One of the things I was thinking about in terms of how to describe the show to people who haven’t seen it—which may not be entirely helpful because I’m going to reference some books that people maybe haven’t read—but it’s kind of like Market Forces by Richard Morgan, plus The Windup Girl by Paolo Bacigalupi, plus the movie Gattaca, plus the movie Total Recall, plus some cyberpunk thing—I’m not sure which one—but if you mash up all those things together, that’s kind of what this is. I’m a little sad that it doesn’t have the gladiatorial car duels that Market Forces has, but otherwise it’s very similar to Market Forces in a lot of ways. I actually really wanted to know if Paolo Bacigalupi had seen this show, because it just reminded me so much of his work.”

Erin Lindsey on ethical dilemmas:

“[There’s] a scene where Laura is operating in her clinic in the red zone, and she finds what she thinks is this kid, and he’s going to die because this implant he has has burst. And after she saves him, she’s explaining to him very happily that she saved his life from this implant, and he says, ‘Well, you’ve got to put that implant back in, because actually I’m 19 years old, and that implant keeps me a kid so that tricks will pay 10 times more, to have sex with a child.’ And she’s appalled, and she doesn’t know what to do, and he basically says, ‘If you don’t put this back in me, not only do I not eat, but my parents don’t eat, my siblings don’t eat, my cousins don’t eat,’ and on and on. Those kinds of ethical dilemmas are very, very real, and they’re really compelling, and I would have liked to see more of that.”

Erin Lindsey on media democratization:

“The ‘democratization’ of the entertainment industry and the fact that there is this glut of content, is really wonderful from the point of view of the consumer, but it essentially means that there’s so much clutter in the space—competing for the attention of the viewer—that the marginal probability of any specific property succeeding is really, really low. … I think the takeaway here for people who really enjoyed this show, or really enjoyed BrainDead or any of these other things that are getting cancelled, is to dig deeper in making your entertainment choices than whatever pops up at the top of your algorithm. … [Most people] are very lazy about their entertainment choices being curated for them, and as a result it’s just a drift to the middle.”",Incorporated Built an Incredible World. Then Syfy Nuked It,https://www.wired.com/2017/03/geeks-guide-syfy-incorporated/,wired
podcasts;cameras;Planet Earth II,"When the trailer dropped for the BBC’s new Planet Earth II series, the most memeable moment was a small fox diving confidently and head-first into a pile of snow. It’s a perfect snippet for a good ol’ “It me,” or a “When it’s Monday,” or really just about anything else. But did you ever wonder about the person filming that moment? Standing there in 40-below weather, periodically punching themselves in the eye to keep it from freezing every time she blinks? That’s what Chadden Hunter and his team had to do, during the shoot for this weekend’s Grasslands episode.

Podcast

Over the last few weeks, we’ve been talking with the creators of Planet Earth II about how exactly they make a show like this. The gear they use, the way they approach the shoots, and how they turn years of wildlife footage into hour-long documentaries. Hunter, for his part, has been working on Planet Earth since the show began, and has seen it evolve as the technology has. In fact, he says if the tech hadn’t changed, there might be no Planet Earth II at all. We asked Hunter, who made a name for himself on the first series as “the guy covered in bat crap,” how he liked shooting with all this new-fangled gadgetry, and what kinds of stories it allowed the BBC crew to tell.

You can watch Planet Earth II on BBC America, Saturdays at 9pm. If you haven’t seen anything yet, you can watch the premiere free on BBC America’s website. See all of our recent Planet Earth II coverage. We’ll do this for the next few episodes, too, through the rest of the season. We still have lots of questions. If you do too, send the hosts feedback on their personal Twitter feeds (David Pierce is @pierce, and Michael Calore is @snackfight) or bling the main hotline at @GadgetLab.",How to Film at 40 Below Without Killing Your Camera—or Yourself,https://www.wired.com/2017/03/planet-earth-2-chadden-hunter/,wired
Vault 7 coverage;MWC;Spotify;Pandora;Future of Mobility;baselworld;Samsung;Nintendo;vault 7;Gadget Lab Podcasts;Wikileaks;Mobile World Congress;podcasts,"Pandora Premium launched this week, but is it too late for the legacy music service to succeed in the current streaming landscape? Spotify already has the volume, the name brand, and the cultural cache. Pandora has… tens of millions of users who’ve been getting something for free for over a decade. Can the company convince them to start coughing up $10 a month? The hosts also discuss the state of the other streaming services (YouTube, Soundcloud, Mixcloud) and David recounts last week’s SXSW experience.

Podcast

Some links: Pandora Premium launched. Check out Mixcloud for DJ mixes. Sonos has new hardware, the Playbase. Recommendations this week: The “Wa Da Da” reggae playlist and Foursquare City Guide.

Send the hosts feedback on their personal Twitter feeds. David Pierce is @pierce and Michael Calore is @snackfight. Bling the main hotline at @GadgetLab.",Gadget Lab Podcast: Pandora Premium Chases the Stream Dream,https://www.wired.com/2017/03/gadget-lab-podcast-308-2/,wired
Geek's Guide to the Galaxy,"Five years ago TV critic Mark Dawidziak watched every episode of The Twilight Zone with his teenage daughter, and in every episode he noticed something important, some lesson that is as valuable today as it was 50 years ago. For example, the episode “Escape Clause,” about a deal with the devil, prompted him to warn his daughter about always reading something carefully before signing it.

“I started thinking about the housing crisis and all these people who had signed contracts not knowing what the ramifications of those contracts would be, and all the trouble it got us into,” Dawidziak says in Episode 246 of the Geek’s Guide to the Galaxy podcast.

That thinking eventually led to his new book Everything I Need to Know I Learned in the Twilight Zone, which contains 50 life lessons drawn from classic episodes of the anthology series. Dawidziak says it’s no accident that The Twilight Zone contains so many important pointers—the show’s creator, Rod Serling, consciously infused everything he wrote with an uncompromising moral vision.

“There’s a concern with racism and prejudice and bigotry that runs through all his work,” Dawidziak says. “And an awareness of what we need to be—the tolerance we need—to survive as a people, as a society, as a nation, and as a planet.”

Dawidziak isn’t alone in using The Twilight Zone to teach ethics. He often hears from teachers who show the episodes to their students. “They use it to teach and to instill discussion among the students, and it gets them going in ways that other things don’t,” he says. “That’s the enduring power of storytelling to teach a lesson or a moral.”

But The Twilight Zone’s most enduring legacy might be its impact on TV writers like David Chase (The Sopranos), Matt Weiner (Mad Men), and Vince Gilligan (Breaking Bad), who all cite Serling as an influence.

“[Television] has become what the American theater was in the 1950s, when writers like Arthur Miller and Tennessee Williams were writing the plays that illuminated who we are and what we are as a society,” Dawidziak says. “Cable dramas have taken over that.”

Listen to our complete interview with Mark Dawidziak in Episode 246 of Geek’s Guide to the Galaxy (above). And check out some highlights from the discussion below.

Mark Dawidziak on pop culture amnesia:

“One of the things that breaks my heart is that I have seen, since I started teaching these classes—every semester, two classes each semester, since 2009—I have seen things recede and disappear from the pop culture consciousness. There are still a few things—thank goodness—that we still share, and we still all know. The Wizard of Oz. You can use a Wizard of Oz reference. Star Wars. Star Wars is a perfect example. You can say, ‘May the Force be with you,’ and have a pretty good shot at hitting most people in the room. But among black-and-white TV shows, there are only two shows that continue to jump [generations]. … I Love Lucy and The Twilight Zone are the only two shows that the majority of my students still know.”

Mark Dawidziak on Rod Serling:

“He was the first guy to realize that if you put something in the trappings of fantasy, or science fiction, or horror, or whatever you want to call the genre—and The Twilight Zone is kind of its own genre—but if you dress it up in those, the sponsors won’t care. All they’re going to see are the aliens and the monsters and the spaceships and things like that. They’re not going to see the message. Gene Roddenberry took this lesson from Rod. He said Rod taught him how to do this. You put it on a spaceship, send it out to the farthest reaches of the galaxy, and you can talk about whatever you want. You can talk about racism, you can talk about war, you can talk about prejudice, you can do whatever you want and nobody’s going to raise an eyebrow over it.”

Mark Dawidziak on Richard Matheson:

“One of the things I really wanted to know was if he’d ever seen the wonderful episode of 3rd Rock From the Sun where William Shatner was the guest star as The Big Giant Head, and they have to go meet him. His plane has been routed in the wrong direction—they’re aliens and he is their superior. And of course John Lithgow starred in the remake of ‘Nightmare at 20,000 Feet’ in the Twilight Zone movie. So in the episode Shatner comes off the plane and Lithgow goes up to greet him and says, ‘How was the flight?’ And Shatner says, ‘It was fine, but you know, halfway through I thought I saw something out on the wing,’ and Lithgow goes, ‘The same thing happened to me!’ … I asked [Matheson] if he’d seen it and he hadn’t, and he was so delighted with the knowledge of that moment in 3rd Rock. And it does speak also to the resonance of that episode, that it shows up in a sitcom so many years later, and the assumption is that everybody will get the joke.”

Mark Dawidziak on “Time Enough at Last”:

“We’re all sitting around and we fell into talking about The Twilight Zone. And everybody sort of went, ‘Yeah yeah yeah, “Time Enough at Last,” the broken glasses, the broken glasses!’ And I kept quiet, I just was silent, but after a while the silence got a little loud, and somebody said, ‘Don’t you like it?’ And I said, ‘No, I like it enormously, but I do have a problem with it.’ And I said, ‘Look, in the years since The Twilight Zone, language skills have gone down. Books are in danger, libraries are in danger. That episode makes it a crime that that guy wants to read, and I think that’s a pretty terrible message, actually, if you stop and think about it.’ And they all kind of stopped short, they all kind of went, ‘But…,’ and they didn’t really have an answer.”",The Twilight Zone Can Make You a Better Person. Really,https://www.wired.com/2017/03/geeks-guide-twilight-zone/,wired
Vault 7 coverage;MWC;Spotify;baselworld;Future of Mobility;Pandora;Samsung;Nintendo;vault 7;Gadget Lab Podcasts;Wikileaks;Mobile World Congress;podcasts,"It was a big week for the security community. On Tuesday, WikiLeaks published some 9,000 pages of documents detailing various hacking tools the CIA had developed to spy on intelligence targets. They hit the public like a punch to the gut. Your cellphone can be hacked. Your Windows PC or Mac is pudding in the hands of government snoops. Even a smart TV can be converted into a bug that records private conversations. Jiminy! That’s pretty nuts. WIRED’s security editor Brian Barrett joins Michael Calore to talk about the Vault 7 revelations, and what they mean for consumers.

Podcast

Some links: Andy Greenberg details the tools exposed in the Vault 7 leak. Mike tells you how to find out if your Samsung television is spying on you (it very likely is not, you can trust it). See all of WIRED’s Vault 7 coverage. Recommendations this week are Last Chance U and the New York mag conversation with David Letterman.

Send the hosts feedback on their personal Twitter feeds. David Pierce is @pierce and Michael Calore is @snackfight. Brian Barrett is @brbarrett. Bling the main hotline at @GadgetLab.",Gadget Lab Podcast: WikiLeaks Vault 7 Revelations,https://www.wired.com/2017/03/gadget-lab-podcast-308/,wired
podcasts;Planet Earth II,"It’s 160 degrees outside, a massive sandstorm could appear at any moment, and you’re trying to capture footage of a pack of lions chasing a giraffe. They’re bigger, faster, and scarier than you are. Oh, and you’ve been out in the desert for weeks, waiting for this exact moment. Don’t screw it up.

Podcast

That, evidently, is what it’s like to be a member of the crew for Planet Earth II. And as we watched the show, we found ourselves wondering how it all comes together. So we asked! This is the second episode in a miniseries in which we’re sitting down with some of the people who make Planet Earth II to talk about the cameras, infrared lights, helicopters, home-made lens protectors, and all the other things that go into making this crazy show.

Many of the show’s creators have been working in these places for years or decades, finding themselves suddenly able to capture new things in new ways as technology gets better. Wasn’t that long ago you could barely get a camera on your shoulder, much less have one flying quietly through the air. For this week’s episode, “Deserts,” David Pierce chatted with director and producer Ed Charles. They talked about how to film in a sandstorm and not ruin your camera (spoiler: it’s impossible), and how to find and capture a tiny animal that almost never comes above ground.

You can watch Planet Earth II on BBC America, Saturdays at 9pm. If you haven’t seen anything yet, you can watch the premiere free on BBC America’s website. See all of our recent Planet Earth II coverage. We’ll do this for the next few episodes, too, through the rest of the season. We still have lots of questions. If you do too,

send the hosts feedback on their personal Twitter feeds (David Pierce is @pierce, and Michael Calore is @snackfight) or bling the main hotline at @GadgetLab.",Planet Earth II: Filming a Nature Doc Among a Swarm of Locusts,https://www.wired.com/2017/03/life-among-billion-locusts/,wired
robotics;engineering;Industry,"You can’t have a conversation with your microwave or refrigerator—unless, of course, you’re on acid. And that’s all right, because these machines serve their purpose just fine as-is. They can afford to be shy.

But the robots that will one day move into your home can’t. To be truly useful, they’ll need to speak human language and understand human gestures. Which makes a repurposed Baxter industrial robot renamed Iorek1 all the more remarkable: It not only recognizes an object a human being is pointing at and talking about, but asks questions to clarify what they mean. Iorek is limited to trafficking in specific objects, sure, but the robot is a big deal for the budding field of human-robot interaction.

The robot—from researchers at Brown University—works like so. A human wearing a headset stands in front of the machine, which sits on a table with six objects in front of it. The human points at, say, a bowl, and asks, “Can I have that bowl?” A Microsoft Kinect atop the robot’s head tracks the movement of the hand to determine which object the subject means and combines that data with the vocal command.

Sometimes, though, two bowls are sitting right next to each other, and Iorek can’t differentiate which one the human is after. So it hovers an arm over the bowl it thinks the human wants and asks: “This one?” If the subject says no, the robot determines that its master seeks the other.

That may seem like a simple interaction, something a child could do. But this is huge for a robot because the system solves a nasty problem: uncertainty. “The real innovation in what we’re doing is what we call social feedback,” says Brown University’s Stefanie Tellex, co-creator of Iorek. “So what we’re trying to do is not just listen and watch and then act, but assess the robot’s own certainty about what the person wants it to do.”

After all, communication is all about certainty. And you want robots in your home to be very, very certain. Consider a robot that one day helps the elderly—cleaning up clutter, lifting them into and out of bed, etc. And say your grandmother asks it to put her down on the sofa, but the robot hears “drop me down the stairs.” Perhaps a rare situation, but you get the point.

The big question now is: How do humans want to communicate with the machines? One idea is to use EEGs to actually have them read our minds. (Also demonstrated with a Baxter robot, by the way. Baxter is quite popular in robotics labs.) That’s far off, of course. But Iorek shows how good machines are getting at recognizing vocal commands and gestures. That’s how the vast majority of people communicate, so sights and sounds will be key to human-robot interaction. More challenging, though, is adapting robots to get along with the deaf and blind.

Whatever that solution ends up being, chances are roboticists will have Iorek to thank for getting them there. So take a bow, Iorek.

No no no. A bow, not a bowl.

1Update, 3/20/17 3:15 pm ET: The spelling of the robot has been corrected from Lorek to Iorek, pronounced “eeyorek.”","Meet Iorek, the Robot That Communicates in a Remarkable Way",https://www.wired.com/2017/03/meet-lorek-robot-communicates-remarkable-way/,wired
NASA;Aviation,"At 48 years old, Boeing 747 is getting long in tooth. (For an aircraft, that is.) But over the years it’s proved itself to be one of the most versatile aircraft. Its upstairs deck has been home to swinging champagne bars. Its wide belly has made it a favorite of cargo transporters. Modified 747s serve as mobile command centers—heard of Air Force One? But NASA’s really taken it to extremes: It’s transported space shuttles strapped to one, and cut a gigantic hole in the side of another, for stargazing.

Since 2010, that hole has allowed scientists to point an on-board 8.2 feet telescope towards the cosmos, while pilots take the plane well above any water vapor in the Earth’s atmosphere. The Stratospheric Observatory for Infrared Astronomy, SOFIA, rivals the Hubble Space Telescope in size, and researchers have used it to study the atmosphere of other planets, the fields of gas where stars are born, and the composition of comets.

Telescopes need to be aimed precisely, so building one into a plane, and making it turbulence proof, took some major engineering. NASA started with a 747SP, or Special Performance, which is lighter than a regular jumbo, and can fly higher and farther. (The plane previously saw service with United and Pan Am as a regular passenger jet.) The space agency worked with Raytheon to cut open a 16-foot by 23-foot section of fuselage, behind the wing, and cover it with a sliding door. They performed extensive tests to make sure the gaping hole didn’t make the plane unflyable.

The telescope itself is mounted on fast reacting gyroscopes to keep it locked on a target, even if the flight gets bumpy. As you’ll see in our clamber-around (above) the interior of the plane is mostly given over to racks of equipment and seats for researchers to watch their data come in. But most impressive of all is the sheer scale of the telescope, and the venerable plane that carries it. As members of the flying public we’re more likely to be squished into uncomfortable seats than staring into black holes, so we don’t often get to see just how big—and multitalented—a jumbo jet really is.",Take a Ride in a Boeing 747 That NASA Turned Into a Huge Telescope,https://www.wired.com/2017/03/flight-lab-take-ride-747-nasa-turned-huge-telescope/,wired
